year,adm2_name,c_exchange_rate_unofficial
2015,Abra,45.501666666666665
2015,Agusan del Norte,45.501666666666665
2015,Agusan del Sur,45.501666666666665
2015,Aklan,45.501666666666665
2015,Albay,45.501666666666665
2015,Antique,45.501666666666665
2015,Apayao,45.501666666666665
2015,Aurora,45.501666666666665
2015,Basilan,45.501666666666665
2015,Bataan,45.501666666666665
2015,Batangas,45.501666666666665
2015,Benguet,45.501666666666665
2015,Biliran,45.501666666666665
2015,Bohol,45.501666666666665
2015,Bukidnon,45.501666666666665
2015,Bulacan,45.501666666666665
2015,Cagayan,45.501666666666665
2015,Camarines Norte,45.501666666666665
2015,Camarines Sur,45.501666666666665
2015,Camiguin,45.501666666666665
2015,Capiz,45.501666666666665
2015,Catanduanes,45.501666666666665
2015,Cavite,45.501666666666665
2015,Cebu,45.501666666666665
2015,Compostela Valley,45.501666666666665
2015,Davao Oriental,45.501666666666665
2015,Davao del Norte,45.501666666666665
2015,Davao del Sur,45.501666666666665
2015,Dinagat Islands,45.501666666666665
2015,Eastern Samar,45.501666666666665
2015,Guimaras,45.501666666666665
2015,Ifugao,45.501666666666665
2015,Ilocos Norte,45.501666666666665
2015,Ilocos Sur,45.501666666666665
2015,Iloilo,45.501666666666665
2015,Isabela,45.501666666666665
2015,Kalinga,45.501666666666665
2015,La Union,45.501666666666665
2015,Laguna,45.501666666666665
2015,Lanao del Norte,45.501666666666665
2015,Lanao del Sur,45.501666666666665
2015,Leyte,45.501666666666665
2015,Maguindanao,45.501666666666665
2015,Marinduque,45.501666666666665
2015,Market Average,45.501666666666665
2015,Masbate,45.501666666666665
2015,Metropolitan Manila,45.501666666666665
2015,Misamis Occidental,45.501666666666665
2015,Misamis Oriental,45.501666666666665
2015,Mountain Province,45.501666666666665
2015,Negros Occidental,45.501666666666665
2015,Negros Oriental,45.501666666666665
2015,North Cotabato,45.501666666666665
2015,Northern Samar,45.501666666666665
2015,Nueva Ecija,45.501666666666665
2015,Nueva Vizcaya,45.501666666666665
2015,Occidental Mindoro,45.501666666666665
2015,Oriental Mindoro,45.501666666666665
2015,Palawan,45.501666666666665
2015,Pangasinan,45.501666666666665
2015,Quezon,45.501666666666665
2015,Quirino,45.501666666666665
2015,Rizal,45.501666666666665
2015,Romblon,45.501666666666665
2015,Samar,45.501666666666665
2015,Sarangani,45.501666666666665
2015,Siquijor,45.501666666666665
2015,Sorsogon,45.501666666666665
2015,South Cotabato,45.501666666666665
2015,Southern Leyte,45.501666666666665
2015,Sultan Kudarat,45.501666666666665
2015,Sulu,45.501666666666665
2015,Surigao del Norte,45.501666666666665
2015,Surigao del Sur,45.501666666666665
2015,Tarlac,45.501666666666665
2015,Tawi-Tawi,45.501666666666665
2015,Zambales,45.501666666666665
2015,Zamboanga Sibugay,45.501666666666665
2015,Zamboanga del Norte,45.501666666666665
2015,Zamboanga del Sur,45.501666666666665
2016,Abra,47.4925
2016,Agusan del Norte,47.4925
2016,Agusan del Sur,47.4925
2016,Aklan,47.4925
2016,Albay,47.4925
2016,Antique,47.4925
2016,Apayao,47.4925
2016,Aurora,47.4925
2016,Basilan,47.4925
2016,Bataan,47.4925
2016,Batangas,47.4925
2016,Benguet,47.4925
2016,Biliran,47.4925
2016,Bohol,47.4925
2016,Bukidnon,47.4925
2016,Bulacan,47.4925
2016,Cagayan,47.4925
2016,Camarines Norte,47.4925
2016,Camarines Sur,47.4925
2016,Camiguin,47.4925
2016,Capiz,47.4925
2016,Catanduanes,47.4925
2016,Cavite,47.4925
2016,Cebu,47.4925
2016,Compostela Valley,47.4925
2016,Davao Oriental,47.4925
2016,Davao del Norte,47.4925
2016,Davao del Sur,47.4925
2016,Dinagat Islands,47.4925
2016,Eastern Samar,47.4925
2016,Guimaras,47.4925
2016,Ifugao,47.4925
2016,Ilocos Norte,47.4925
2016,Ilocos Sur,47.4925
2016,Iloilo,47.4925
2016,Isabela,47.4925
2016,Kalinga,47.4925
2016,La Union,47.4925
2016,Laguna,47.4925
2016,Lanao del Norte,47.4925
2016,Lanao del Sur,47.4925
2016,Leyte,47.4925
2016,Maguindanao,47.4925
2016,Marinduque,47.4925
2016,Market Average,47.4925
2016,Masbate,47.4925
2016,Metropolitan Manila,47.4925
2016,Misamis Occidental,47.4925
2016,Misamis Oriental,47.4925
2016,Mountain Province,47.4925
2016,Negros Occidental,47.4925
2016,Negros Oriental,47.4925
2016,North Cotabato,47.4925
2016,Northern Samar,47.4925
2016,Nueva Ecija,47.4925
2016,Nueva Vizcaya,47.4925
2016,Occidental Mindoro,47.4925
2016,Oriental Mindoro,47.4925
2016,Palawan,47.4925
2016,Pangasinan,47.4925
2016,Quezon,47.4925
2016,Quirino,47.4925
2016,Rizal,47.4925
2016,Romblon,47.4925
2016,Samar,47.4925
2016,Sarangani,47.4925
2016,Siquijor,47.4925
2016,Sorsogon,47.4925
2016,South Cotabato,47.4925
2016,Southern Leyte,47.4925
2016,Sultan Kudarat,47.4925
2016,Sulu,47.4925
2016,Surigao del Norte,47.4925
2016,Surigao del Sur,47.4925
2016,Tarlac,47.4925
2016,Tawi-Tawi,47.4925
2016,Zambales,47.4925
2016,Zamboanga Sibugay,47.4925
2016,Zamboanga del Norte,47.4925
2016,Zamboanga del Sur,47.4925
2017,Abra,50.403333333333336
2017,Agusan del Norte,50.403333333333336
2017,Agusan del Sur,50.403333333333336
2017,Aklan,50.403333333333336
2017,Albay,50.403333333333336
2017,Antique,50.403333333333336
2017,Apayao,50.403333333333336
2017,Aurora,50.403333333333336
2017,Basilan,50.403333333333336
2017,Bataan,50.403333333333336
2017,Batangas,50.403333333333336
2017,Benguet,50.403333333333336
2017,Biliran,50.403333333333336
2017,Bohol,50.403333333333336
2017,Bukidnon,50.403333333333336
2017,Bulacan,50.403333333333336
2017,Cagayan,50.403333333333336
2017,Camarines Norte,50.403333333333336
2017,Camarines Sur,50.403333333333336
2017,Camiguin,50.403333333333336
2017,Capiz,50.403333333333336
2017,Catanduanes,50.403333333333336
2017,Cavite,50.403333333333336
2017,Cebu,50.403333333333336
2017,Compostela Valley,50.403333333333336
2017,Davao Oriental,50.403333333333336
2017,Davao del Norte,50.403333333333336
2017,Davao del Sur,50.403333333333336
2017,Dinagat Islands,50.403333333333336
2017,Eastern Samar,50.403333333333336
2017,Guimaras,50.403333333333336
2017,Ifugao,50.403333333333336
2017,Ilocos Norte,50.403333333333336
2017,Ilocos Sur,50.403333333333336
2017,Iloilo,50.403333333333336
2017,Isabela,50.403333333333336
2017,Kalinga,50.403333333333336
2017,La Union,50.403333333333336
2017,Laguna,50.403333333333336
2017,Lanao del Norte,50.403333333333336
2017,Lanao del Sur,50.403333333333336
2017,Leyte,50.403333333333336
2017,Maguindanao,50.403333333333336
2017,Marinduque,50.403333333333336
2017,Market Average,50.403333333333336
2017,Masbate,50.403333333333336
2017,Metropolitan Manila,50.403333333333336
2017,Misamis Occidental,50.403333333333336
2017,Misamis Oriental,50.403333333333336
2017,Mountain Province,50.403333333333336
2017,Negros Occidental,50.403333333333336
2017,Negros Oriental,50.403333333333336
2017,North Cotabato,50.403333333333336
2017,Northern Samar,50.403333333333336
2017,Nueva Ecija,50.403333333333336
2017,Nueva Vizcaya,50.403333333333336
2017,Occidental Mindoro,50.403333333333336
2017,Oriental Mindoro,50.403333333333336
2017,Palawan,50.403333333333336
2017,Pangasinan,50.403333333333336
2017,Quezon,50.403333333333336
2017,Quirino,50.403333333333336
2017,Rizal,50.403333333333336
2017,Romblon,50.403333333333336
2017,Samar,50.403333333333336
2017,Sarangani,50.403333333333336
2017,Siquijor,50.403333333333336
2017,Sorsogon,50.403333333333336
2017,South Cotabato,50.403333333333336
2017,Southern Leyte,50.403333333333336
2017,Sultan Kudarat,50.403333333333336
2017,Sulu,50.403333333333336
2017,Surigao del Norte,50.403333333333336
2017,Surigao del Sur,50.403333333333336
2017,Tarlac,50.403333333333336
2017,Tawi-Tawi,50.403333333333336
2017,Zambales,50.403333333333336
2017,Zamboanga Sibugay,50.403333333333336
2017,Zamboanga del Norte,50.403333333333336
2017,Zamboanga del Sur,50.403333333333336
2018,Abra,52.66166666666667
2018,Agusan del Norte,52.66166666666667
2018,Agusan del Sur,52.66166666666667
2018,Aklan,52.66166666666667
2018,Albay,52.66166666666667
2018,Antique,52.66166666666667
2018,Apayao,52.66166666666667
2018,Aurora,52.66166666666667
2018,Basilan,52.66166666666667
2018,Bataan,52.66166666666667
2018,Batangas,52.66166666666667
2018,Benguet,52.66166666666666
2018,Biliran,52.66166666666667
2018,Bohol,52.66166666666667
2018,Bukidnon,52.66166666666667
2018,Bulacan,52.66166666666667
2018,Cagayan,52.66166666666667
2018,Camarines Norte,52.66166666666667
2018,Camarines Sur,52.66166666666667
2018,Camiguin,52.66166666666667
2018,Capiz,52.66166666666667
2018,Catanduanes,52.66166666666667
2018,Cavite,52.66166666666667
2018,Cebu,52.66166666666667
2018,Compostela Valley,52.66166666666667
2018,Davao Oriental,52.66166666666667
2018,Davao del Norte,52.66166666666667
2018,Davao del Sur,52.66166666666666
2018,Dinagat Islands,52.66166666666667
2018,Eastern Samar,52.66166666666667
2018,Guimaras,52.66166666666667
2018,Ifugao,52.66166666666667
2018,Ilocos Norte,52.66166666666667
2018,Ilocos Sur,52.66166666666667
2018,Iloilo,52.66166666666667
2018,Isabela,52.66166666666667
2018,Kalinga,52.66166666666667
2018,La Union,52.66166666666667
2018,Laguna,52.66166666666667
2018,Lanao del Norte,52.66166666666667
2018,Lanao del Sur,52.66166666666667
2018,Leyte,52.66166666666667
2018,Maguindanao,52.66166666666666
2018,Marinduque,52.66166666666667
2018,Market Average,52.66166666666667
2018,Masbate,52.66166666666667
2018,Metropolitan Manila,52.66166666666667
2018,Misamis Occidental,52.66166666666667
2018,Misamis Oriental,52.66166666666667
2018,Mountain Province,52.66166666666667
2018,Negros Occidental,52.66166666666667
2018,Negros Oriental,52.66166666666667
2018,North Cotabato,52.66166666666667
2018,Northern Samar,52.66166666666667
2018,Nueva Ecija,52.66166666666666
2018,Nueva Vizcaya,52.66166666666667
2018,Occidental Mindoro,52.66166666666667
2018,Oriental Mindoro,52.66166666666667
2018,Palawan,52.66166666666667
2018,Pangasinan,52.66166666666667
2018,Quezon,52.66166666666667
2018,Quirino,52.66166666666667
2018,Rizal,52.66166666666667
2018,Romblon,52.66166666666667
2018,Samar,52.66166666666667
2018,Sarangani,52.66166666666667
2018,Siquijor,52.66166666666667
2018,Sorsogon,52.66166666666667
2018,South Cotabato,52.66166666666667
2018,Southern Leyte,52.66166666666667
2018,Sultan Kudarat,52.66166666666667
2018,Sulu,52.66166666666667
2018,Surigao del Norte,52.66166666666667
2018,Surigao del Sur,52.66166666666667
2018,Tarlac,52.66166666666667
2018,Tawi-Tawi,52.66166666666667
2018,Zambales,52.66166666666667
2018,Zamboanga Sibugay,52.66166666666667
2018,Zamboanga del Norte,52.66166666666667
2018,Zamboanga del Sur,52.66166666666667
2019,Abra,51.794999999999995
2019,Agusan del Norte,51.794999999999995
2019,Agusan del Sur,51.794999999999995
2019,Aklan,51.794999999999995
2019,Albay,51.794999999999995
2019,Antique,51.794999999999995
2019,Apayao,51.794999999999995
2019,Aurora,51.794999999999995
2019,Basilan,51.794999999999995
2019,Bataan,51.794999999999995
2019,Batangas,51.794999999999995
2019,Benguet,51.794999999999995
2019,Biliran,51.794999999999995
2019,Bohol,51.794999999999995
2019,Bukidnon,51.794999999999995
2019,Bulacan,51.794999999999995
2019,Cagayan,51.794999999999995
2019,Camarines Norte,51.794999999999995
2019,Camarines Sur,51.794999999999995
2019,Camiguin,51.794999999999995
2019,Capiz,51.794999999999995
2019,Catanduanes,51.794999999999995
2019,Cavite,51.794999999999995
2019,Cebu,51.794999999999995
2019,Compostela Valley,51.794999999999995
2019,Davao Oriental,51.794999999999995
2019,Davao del Norte,51.794999999999995
2019,Davao del Sur,51.794999999999995
2019,Dinagat Islands,51.794999999999995
2019,Eastern Samar,51.794999999999995
2019,Guimaras,51.794999999999995
2019,Ifugao,51.794999999999995
2019,Ilocos Norte,51.794999999999995
2019,Ilocos Sur,51.794999999999995
2019,Iloilo,51.794999999999995
2019,Isabela,51.794999999999995
2019,Kalinga,51.794999999999995
2019,La Union,51.794999999999995
2019,Laguna,51.794999999999995
2019,Lanao del Norte,51.794999999999995
2019,Lanao del Sur,51.794999999999995
2019,Leyte,51.794999999999995
2019,Maguindanao,51.794999999999995
2019,Marinduque,51.794999999999995
2019,Market Average,51.794999999999995
2019,Masbate,51.794999999999995
2019,Metropolitan Manila,51.794999999999995
2019,Misamis Occidental,51.794999999999995
2019,Misamis Oriental,51.794999999999995
2019,Mountain Province,51.794999999999995
2019,Negros Occidental,51.794999999999995
2019,Negros Oriental,51.794999999999995
2019,North Cotabato,51.794999999999995
2019,Northern Samar,51.794999999999995
2019,Nueva Ecija,51.794999999999995
2019,Nueva Vizcaya,51.794999999999995
2019,Occidental Mindoro,51.794999999999995
2019,Oriental Mindoro,51.794999999999995
2019,Palawan,51.794999999999995
2019,Pangasinan,51.794999999999995
2019,Quezon,51.794999999999995
2019,Quirino,51.794999999999995
2019,Rizal,51.794999999999995
2019,Romblon,51.794999999999995
2019,Samar,51.794999999999995
2019,Sarangani,51.794999999999995
2019,Siquijor,51.794999999999995
2019,Sorsogon,51.794999999999995
2019,South Cotabato,51.794999999999995
2019,Southern Leyte,51.794999999999995
2019,Sultan Kudarat,51.794999999999995
2019,Sulu,51.794999999999995
2019,Surigao del Norte,51.794999999999995
2019,Surigao del Sur,51.794999999999995
2019,Tarlac,51.794999999999995
2019,Tawi-Tawi,51.794999999999995
2019,Zambales,51.794999999999995
2019,Zamboanga Sibugay,51.794999999999995
2019,Zamboanga del Norte,51.794999999999995
2019,Zamboanga del Sur,51.794999999999995
2020,Abra,49.623333333333335
2020,Agusan del Norte,49.623333333333335
2020,Agusan del Sur,49.623333333333335
2020,Aklan,49.623333333333335
2020,Albay,49.623333333333335
2020,Antique,49.623333333333335
2020,Apayao,49.623333333333335
2020,Aurora,49.623333333333335
2020,Basilan,49.623333333333335
2020,Bataan,49.623333333333335
2020,Batangas,49.623333333333335
2020,Benguet,49.623333333333335
2020,Biliran,49.623333333333335
2020,Bohol,49.623333333333335
2020,Bukidnon,49.623333333333335
2020,Bulacan,49.623333333333335
2020,Cagayan,49.623333333333335
2020,Camarines Norte,49.623333333333335
2020,Camarines Sur,49.623333333333335
2020,Camiguin,49.623333333333335
2020,Capiz,49.623333333333335
2020,Catanduanes,49.623333333333335
2020,Cavite,49.623333333333335
2020,Cebu,49.623333333333335
2020,Compostela Valley,49.623333333333335
2020,Davao Oriental,49.623333333333335
2020,Davao del Norte,49.623333333333335
2020,Davao del Sur,49.623333333333335
2020,Dinagat Islands,49.623333333333335
2020,Eastern Samar,49.623333333333335
2020,Guimaras,49.623333333333335
2020,Ifugao,49.623333333333335
2020,Ilocos Norte,49.623333333333335
2020,Ilocos Sur,49.623333333333335
2020,Iloilo,49.623333333333335
2020,Isabela,49.623333333333335
2020,Kalinga,49.623333333333335
2020,La Union,49.623333333333335
2020,Laguna,49.623333333333335
2020,Lanao del Norte,49.623333333333335
2020,Lanao del Sur,49.623333333333335
2020,Leyte,49.623333333333335
2020,Maguindanao,49.623333333333335
2020,Marinduque,49.623333333333335
2020,Market Average,49.623333333333335
2020,Masbate,49.623333333333335
2020,Metropolitan Manila,49.623333333333335
2020,Misamis Occidental,49.623333333333335
2020,Misamis Oriental,49.623333333333335
2020,Mountain Province,49.623333333333335
2020,Negros Occidental,49.623333333333335
