Region,Province,Year,Annual Per Capita Poverty Threshold,Poverty Incidence Among Families (%),Magnitude of Poor Families (1000)
NIR,Negros Oriental,2019,25416.666666666668,20.666666666666668,68.77666666666667
NIR,Negros Oriental,2020,25720.333333333332,22.333333333333332,74.40333333333334
NIR,Negros Oriental,2021,26024.0,24.0,80.03
NIR,Negros Oriental,2022,28374.0,24.55,83.575
NIR,Negros Oriental,2023,30724.0,25.1,87.12
NIR,Negros Oriental,2024,30724.0,25.1,87.12
NIR,Negros Oriental,2025,30724.0,25.1,87.12
Region VIII,Northern Samar,2015,25971.0,28.0,37.13
Region VIII,Northern Samar,2016,25971.0,28.0,37.13
Region VIII,Northern Samar,2017,25971.0,28.0,37.13
Region VIII,Northern Samar,2018,25971.0,28.0,37.13
Region VIII,Northern Samar,2019,26171.333333333332,25.0,33.77333333333333
Region VIII,Northern Samar,2020,26371.666666666668,22.0,30.416666666666668
Region VIII,Northern Samar,2021,26572.0,19.0,27.06
Region VIII,Northern Samar,2022,30022.0,20.4,29.295
Region VIII,Northern Samar,2023,33472.0,21.8,31.53
Region VIII,Northern Samar,2024,33472.0,21.8,31.53
Region VIII,Northern Samar,2025,33472.0,21.8,31.53
Region III,Nueva Ecija,2015,25466.0,7.0,35.25
Region III,Nueva Ecija,2016,25466.0,7.0,35.25
Region III,Nueva Ecija,2017,25466.0,7.0,35.25
Region III,Nueva Ecija,2018,25466.0,7.0,35.25
Region III,Nueva Ecija,2019,26894.333333333332,8.0,42.513333333333335
Region III,Nueva Ecija,2020,28322.666666666668,9.0,49.776666666666664
Region III,Nueva Ecija,2021,29751.0,10.0,57.04
Region III,Nueva Ecija,2022,33045.0,8.45,49.114999999999995
Region III,Nueva Ecija,2023,36339.0,6.9,41.19
Region III,Nueva Ecija,2024,36339.0,6.9,41.19
Region III,Nueva Ecija,2025,36339.0,6.9,41.19
Region II,Nueva Vizcaya,2015,24857.0,12.0,14.16
Region II,Nueva Vizcaya,2016,24857.0,12.0,14.16
Region II,Nueva Vizcaya,2017,24857.0,12.0,14.16
Region II,Nueva Vizcaya,2018,24857.0,12.0,14.16
Region II,Nueva Vizcaya,2019,25076.0,11.666666666666666,14.183333333333334
Region II,Nueva Vizcaya,2020,25295.0,11.333333333333334,14.206666666666667
Region II,Nueva Vizcaya,2021,25514.0,11.0,14.23
Region II,Nueva Vizcaya,2022,27146.0,9.15,12.14
Region II,Nueva Vizcaya,2023,28778.0,7.3,10.05
Region II,Nueva Vizcaya,2024,28778.0,7.3,10.05
Region II,Nueva Vizcaya,2025,28778.0,7.3,10.05
MIMAROPA,Occidental Mindoro,2015,21341.0,16.0,19.33
MIMAROPA,Occidental Mindoro,2016,21341.0,16.0,19.33
MIMAROPA,Occidental Mindoro,2017,21341.0,16.0,19.33
MIMAROPA,Occidental Mindoro,2018,21341.0,16.0,19.33
MIMAROPA,Occidental Mindoro,2019,23114.333333333332,18.333333333333332,22.62333333333333
MIMAROPA,Occidental Mindoro,2020,24887.666666666668,20.666666666666668,25.916666666666668
MIMAROPA,Occidental Mindoro,2021,26661.0,23.0,29.21
MIMAROPA,Occidental Mindoro,2022,27957.0,21.8,28.195
MIMAROPA,Occidental Mindoro,2023,29253.0,20.6,27.18
MIMAROPA,Occidental Mindoro,2024,29253.0,20.6,27.18
MIMAROPA,Occidental Mindoro,2025,29253.0,20.6,27.18
MIMAROPA,Oriental Mindoro,2015,24470.0,7.0,14.69
MIMAROPA,Oriental Mindoro,2016,24470.0,7.0,14.69
MIMAROPA,Oriental Mindoro,2017,24470.0,7.0,14.69
MIMAROPA,Oriental Mindoro,2018,24470.0,7.0,14.69
MIMAROPA,Oriental Mindoro,2019,25068.333333333332,9.0,18.846666666666668
MIMAROPA,Oriental Mindoro,2020,25666.666666666668,11.0,23.003333333333334
MIMAROPA,Oriental Mindoro,2021,26265.0,13.0,27.16
MIMAROPA,Oriental Mindoro,2022,28728.0,13.55,29.08
MIMAROPA,Oriental Mindoro,2023,31191.0,14.1,31.0
MIMAROPA,Oriental Mindoro,2024,31191.0,14.1,31.0
MIMAROPA,Oriental Mindoro,2025,31191.0,14.1,31.0
MIMAROPA,Palawan,2015,23425.0,8.0,23.59
MIMAROPA,Palawan,2016,23425.0,8.0,23.59
MIMAROPA,Palawan,2017,23425.0,8.0,23.59
MIMAROPA,Palawan,2018,23425.0,8.0,23.59
MIMAROPA,Palawan,2019,23659.0,8.333333333333334,25.54
MIMAROPA,Palawan,2020,23893.0,8.666666666666666,27.490000000000002
MIMAROPA,Palawan,2021,24127.0,9.0,29.44
MIMAROPA,Palawan,2022,26871.0,12.4,40.81
MIMAROPA,Palawan,2023,29615.0,15.8,52.18
MIMAROPA,Palawan,2024,29615.0,15.8,52.18
MIMAROPA,Palawan,2025,29615.0,15.8,52.18
Region III,Pampanga,2015,26633.0,2.0,13.88
Region III,Pampanga,2016,26633.0,2.0,13.88
Region III,Pampanga,2017,26633.0,2.0,13.88
Region III,Pampanga,2018,26633.0,2.0,13.88
Region III,Pampanga,2019,28796.0,2.3333333333333335,15.99
Region III,Pampanga,2020,30959.0,2.6666666666666665,18.1
Region III,Pampanga,2021,33122.0,3.0,20.21
Region III,Pampanga,2022,35790.5,2.0,13.875
Region III,Pampanga,2023,38459.0,1.0,7.54
Region III,Pampanga,2024,38459.0,1.0,7.54
Region III,Pampanga,2025,38459.0,1.0,7.54
Region I ,Pangasinan,2015,27828.0,9.0,66.2
Region I ,Pangasinan,2016,27828.0,9.0,66.2
Region I ,Pangasinan,2017,27828.0,9.0,66.2
Region I ,Pangasinan,2018,27828.0,9.0,66.2
Region I ,Pangasinan,2019,28965.333333333332,10.666666666666666,78.66666666666667
Region I ,Pangasinan,2020,30102.666666666668,12.333333333333334,91.13333333333333
Region I ,Pangasinan,2021,31240.0,14.0,103.6
Region I ,Pangasinan,2022,32871.0,12.7,95.47999999999999
Region I ,Pangasinan,2023,34502.0,11.4,87.36
Region I ,Pangasinan,2024,34502.0,11.4,87.36
Region I ,Pangasinan,2025,34502.0,11.4,87.36
Region IV-A,Quezon,2015,22805.0,9.0,48.35
Region IV-A,Quezon,2016,22805.0,9.0,48.35
Region IV-A,Quezon,2017,22805.0,9.0,48.35
Region IV-A,Quezon,2018,22805.0,9.0,48.35
Region IV-A,Quezon,2019,24253.666666666668,11.333333333333334,61.913333333333334
Region IV-A,Quezon,2020,25702.333333333332,13.666666666666668,75.47666666666667
Region IV-A,Quezon,2021,27151.0,16.0,89.04
Region IV-A,Quezon,2022,28104.5,11.45,64.025
Region IV-A,Quezon,2023,29058.0,6.9,39.01
Region IV-A,Quezon,2024,29058.0,6.9,39.01
Region IV-A,Quezon,2025,29058.0,6.9,39.01
Region II,Quirino,2015,23580.0,9.0,4.04
Region II,Quirino,2016,23580.0,9.0,4.04
Region II,Quirino,2017,23580.0,9.0,4.04
Region II,Quirino,2018,23580.0,9.0,4.04
Region II,Quirino,2019,24740.0,8.0,3.6633333333333336
Region II,Quirino,2020,25900.0,7.0,3.2866666666666666
Region II,Quirino,2021,27060.0,6.0,2.91
Region II,Quirino,2022,28124.5,6.35,3.06
Region II,Quirino,2023,29189.0,6.7,3.21
Region II,Quirino,2024,29189.0,6.7,3.21
Region II,Quirino,2025,29189.0,6.7,3.21
Region IV-A,Rizal,2015,28647.0,3.0,23.65
Region IV-A,Rizal,2016,28647.0,3.0,23.65
Region IV-A,Rizal,2017,28647.0,3.0,23.65
Region IV-A,Rizal,2018,28647.0,3.0,23.65
Region IV-A,Rizal,2019,29837.0,3.3333333333333335,26.586666666666666
Region IV-A,Rizal,2020,31027.0,3.6666666666666665,29.523333333333333
Region IV-A,Rizal,2021,32217.0,4.0,32.46
Region IV-A,Rizal,2022,35636.0,4.8,38.2
Region IV-A,Rizal,2023,39055.0,5.6,43.94
Region IV-A,Rizal,2024,39055.0,5.6,43.94
Region IV-A,Rizal,2025,39055.0,5.6,43.94
MIMAROPA,Romblon,2015,24087.0,20.0,14.15
MIMAROPA,Romblon,2016,24087.0,20.0,14.15
MIMAROPA,Romblon,2017,24087.0,20.0,14.15
MIMAROPA,Romblon,2018,24087.0,20.0,14.15
MIMAROPA,Romblon,2019,25641.0,23.666666666666668,17.266666666666666
MIMAROPA,Romblon,2020,27195.0,27.333333333333332,20.383333333333333
MIMAROPA,Romblon,2021,28749.0,31.0,23.5
MIMAROPA,Romblon,2022,31064.0,27.0,20.725
MIMAROPA,Romblon,2023,33379.0,23.0,17.95
MIMAROPA,Romblon,2024,33379.0,23.0,17.95
MIMAROPA,Romblon,2025,33379.0,23.0,17.95
Region VIII,Samar,2015,23131.0,22.2,39.21
Region VIII,Samar,2016,23131.0,22.2,39.21
Region VIII,Samar,2017,23131.0,22.2,39.21
Region VIII,Samar,2018,23131.0,22.2,39.21
Region VIII,Samar,2019,23840.333333333332,23.8,43.13666666666667
Region VIII,Samar,2020,24549.666666666668,25.4,47.06333333333333
Region VIII,Samar,2021,25259.0,27.0,50.99
Region VIII,Samar,2022,27149.0,25.95,49.925
Region VIII,Samar,2023,29039.0,24.9,48.86
Region VIII,Samar,2024,29039.0,24.9,48.86
Region VIII,Samar,2025,29039.0,24.9,48.86
Region XII,Sarangani,2015,23282.0,36.1,48.28
Region XII,Sarangani,2016,23282.0,36.1,48.28
Region XII,Sarangani,2017,23282.0,36.1,48.28
Region XII,Sarangani,2018,23282.0,36.1,48.28
Region XII,Sarangani,2019,23544.666666666668,35.233333333333334,48.08
Region XII,Sarangani,2020,23807.333333333332,34.36666666666667,47.88
Region XII,Sarangani,2021,24070.0,33.5,47.68
Region XII,Sarangani,2022,25912.5,28.3,40.875
Region XII,Sarangani,2023,27755.0,23.1,34.07
Region XII,Sarangani,2024,27755.0,23.1,34.07
Region XII,Sarangani,2025,27755.0,23.1,34.07
NIR,Siquijor,2015,25649.0,7.0,1.73
NIR,Siquijor,2016,25649.0,7.0,1.73
NIR,Siquijor,2017,25649.0,7.0,1.73
NIR,Siquijor,2018,25649.0,7.0,1.73
NIR,Siquijor,2019,25633.666666666668,5.333333333333333,1.3366666666666667
NIR,Siquijor,2020,25618.333333333332,3.6666666666666665,0.9433333333333334
NIR,Siquijor,2021,25603.0,2.0,0.55
NIR,Siquijor,2022,28337.5,2.75,0.72
NIR,Siquijor,2023,31072.0,3.5,0.89
NIR,Siquijor,2024,31072.0,3.5,0.89
NIR,Siquijor,2025,31072.0,3.5,0.89
Region V,Sorsogon,2015,26069.0,20.0,34.36
Region V,Sorsogon,2016,26069.0,20.0,34.36
Region V,Sorsogon,2017,26069.0,20.0,34.36
Region V,Sorsogon,2018,26069.0,20.0,34.36
Region V,Sorsogon,2019,26423.666666666668,20.666666666666668,36.2
Region V,Sorsogon,2020,26778.333333333332,21.333333333333332,38.04
Region V,Sorsogon,2021,27133.0,22.0,39.88
Region V,Sorsogon,2022,30752.0,25.2,46.615
Region V,Sorsogon,2023,34371.0,28.4,53.35
Region V,Sorsogon,2024,34371.0,28.4,53.35
Region V,Sorsogon,2025,34371.0,28.4,53.35
Region XII,South Cotabato,2015,25240.0,13.7,54.04
Region XII,South Cotabato,2016,25240.0,13.7,54.04
Region XII,South Cotabato,2017,25240.0,13.7,54.04
Region XII,South Cotabato,2018,25240.0,13.7,54.04
Region XII,South Cotabato,2019,24978.333333333332,13.4,54.03333333333333
Region XII,South Cotabato,2020,24716.666666666668,13.1,54.02666666666667
Region XII,South Cotabato,2021,24455.0,12.8,54.02
Region XII,South Cotabato,2022,26345.5,11.45,49.24
Region XII,South Cotabato,2023,28236.0,10.1,44.46
Region XII,South Cotabato,2024,28236.0,10.1,44.46
Region XII,South Cotabato,2025,28236.0,10.1,44.46
Region VIII,Southern Leyte,2015,25756.0,17.0,16.37
Region VIII,Southern Leyte,2016,25756.0,17.0,16.37
Region VIII,Southern Leyte,2017,25756.0,17.0,16.37
Region VIII,Southern Leyte,2018,25756.0,17.0,16.37
Region VIII,Southern Leyte,2019,26770.333333333332,16.666666666666668,16.080000000000002
Region VIII,Southern Leyte,2020,27784.666666666668,16.333333333333332,15.790000000000001
Region VIII,Southern Leyte,2021,28799.0,16.0,15.5
Region VIII,Southern Leyte,2022,30124.0,11.55,11.22
Region VIII,Southern Leyte,2023,31449.0,7.1,6.94
Region VIII,Southern Leyte,2024,31449.0,7.1,6.94
Region VIII,Southern Leyte,2025,31449.0,7.1,6.94
Region XII,Sultan Kudarat,2015,23775.0,24.3,46.49
Region XII,Sultan Kudarat,2016,23775.0,24.3,46.49
Region XII,Sultan Kudarat,2017,23775.0,24.3,46.49
Region XII,Sultan Kudarat,2018,23775.0,24.3,46.49
Region XII,Sultan Kudarat,2019,24281.666666666668,24.133333333333333,46.63666666666667
Region XII,Sultan Kudarat,2020,24788.333333333332,23.96666666666667,46.78333333333333
Region XII,Sultan Kudarat,2021,25295.0,23.8,46.93
Region XII,Sultan Kudarat,2022,27255.0,25.1,49.935
Region XII,Sultan Kudarat,2023,29215.0,26.4,52.94
Region XII,Sultan Kudarat,2024,29215.0,26.4,52.94
Region XII,Sultan Kudarat,2025,29215.0,26.4,52.94
BARMM,Sulu,2015,29150.0,75.3,110.0
BARMM,Sulu,2016,29150.0,75.3,110.0
BARMM,Sulu,2017,29150.0,75.3,110.0
BARMM,Sulu,2018,29150.0,75.3,110.0
BARMM,Sulu,2019,29165.0,64.03333333333333,94.72666666666667
BARMM,Sulu,2020,29180.0,52.766666666666666,79.45333333333333
BARMM,Sulu,2021,29195.0,41.5,64.18
BARMM,Sulu,2022,29801.0,27.25,42.505
BARMM,Sulu,2023,30407.0,13.0,20.83
BARMM,Sulu,2024,30407.0,13.0,20.83
BARMM,Sulu,2025,30407.0,13.0,20.83
Region XIII,Surigao del Norte,2015,28293.0,27.7,32.76
Region XIII,Surigao del Norte,2016,28293.0,27.7,32.76
Region XIII,Surigao del Norte,2017,28293.0,27.7,32.76
Region XIII,Surigao del Norte,2018,28293.0,27.7,32.76
Region XIII,Surigao del Norte,2019,27676.666666666668,25.53333333333333,30.933333333333334
Region XIII,Surigao del Norte,2020,27060.333333333332,23.366666666666667,29.106666666666666
Region XIII,Surigao del Norte,2021,26444.0,21.2,27.28
Region XIII,Surigao del Norte,2022,28154.5,14.0,18.245
Region XIII,Surigao del Norte,2023,29865.0,6.8,9.21
Region XIII,Surigao del Norte,2024,29865.0,6.8,9.21
Region XIII,Surigao del Norte,2025,29865.0,6.8,9.21
Region XIII,Surigao del Sur,2015,24873.0,19.2,26.65
Region XIII,Surigao del Sur,2016,24873.0,19.2,26.65
Region XIII,Surigao del Sur,2017,24873.0,19.2,26.65
Region XIII,Surigao del Sur,2018,24873.0,19.2,26.65
Region XIII,Surigao del Sur,2019,25395.666666666668,20.8,29.55333333333333
Region XIII,Surigao del Sur,2020,25918.333333333332,22.4,32.45666666666666
Region XIII,Surigao del Sur,2021,26441.0,24.0,35.36
Region XIII,Surigao del Sur,2022,27719.0,17.15,25.585
Region XIII,Surigao del Sur,2023,28997.0,10.3,15.81
Region XIII,Surigao del Sur,2024,28997.0,10.3,15.81
Region XIII,Surigao del Sur,2025,28997.0,10.3,15.81
Region III,Tarlac,2015,25386.0,8.0,25.26
Region III,Tarlac,2016,25386.0,8.0,25.26
Region III,Tarlac,2017,25386.0,8.0,25.26
Region III,Tarlac,2018,25386.0,8.0,25.26
Region III,Tarlac,2019,26825.333333333332,8.0,26.37666666666667
Region III,Tarlac,2020,28264.666666666668,8.0,27.493333333333332
Region III,Tarlac,2021,29704.0,8.0,28.61
Region III,Tarlac,2022,33193.0,7.35,26.515
Region III,Tarlac,2023,36682.0,6.7,24.42
Region III,Tarlac,2024,36682.0,6.7,24.42
Region III,Tarlac,2025,36682.0,6.7,24.42
BARMM,Tawi-tawi,2015,21264.0,15.1,10.49
BARMM,Tawi-tawi,2016,21264.0,15.1,10.49
BARMM,Tawi-tawi,2017,21264.0,15.1,10.49
BARMM,Tawi-tawi,2018,21264.0,15.1,10.49
BARMM,Tawi-tawi,2019,22954.666666666668,19.433333333333334,13.716666666666667
BARMM,Tawi-tawi,2020,24645.333333333332,23.766666666666666,16.943333333333335
BARMM,Tawi-tawi,2021,26336.0,28.1,20.17
BARMM,Tawi-tawi,2022,28858.0,30.2,21.82
BARMM,Tawi-tawi,2023,31380.0,32.3,23.47
BARMM,Tawi-tawi,2024,31380.0,32.3,23.47
BARMM,Tawi-tawi,2025,31380.0,32.3,23.47
Region III,Zambales,2015,29977.0,11.0,23.21
Region III,Zambales,2016,29977.0,11.0,23.21
Region III,Zambales,2017,29977.0,11.0,23.21
Region III,Zambales,2018,29977.0,11.0,23.21
Region III,Zambales,2019,31112.333333333332,13.333333333333334,29.133333333333333
Region III,Zambales,2020,32247.666666666668,15.666666666666668,35.056666666666665
Region III,Zambales,2021,33383.0,18.0,40.98
Region III,Zambales,2022,36714.5,14.9,34.685
Region III,Zambales,2023,40046.0,11.8,28.39
Region III,Zambales,2024,40046.0,11.8,28.39
Region III,Zambales,2025,40046.0,11.8,28.39
Region IX,Zamboanga Sibugay,2015,23054.0,27.0,41.36
Region IX,Zamboanga Sibugay,2016,23054.0,27.0,41.36
Region IX,Zamboanga Sibugay,2017,23054.0,27.0,41.36
Region IX,Zamboanga Sibugay,2018,23054.0,27.0,41.36
Region IX,Zamboanga Sibugay,2019,23605.333333333332,26.666666666666668,41.78
Region IX,Zamboanga Sibugay,2020,24156.666666666668,26.333333333333332,42.199999999999996
Region IX,Zamboanga Sibugay,2021,24708.0,26.0,42.62
Region IX,Zamboanga Sibugay,2022,25632.5,21.9,36.54
Region IX,Zamboanga Sibugay,2023,26557.0,17.8,30.46
Region IX,Zamboanga Sibugay,2024,26557.0,17.8,30.46
Region IX,Zamboanga Sibugay,2025,26557.0,17.8,30.46
Region IX,Zamboanga del Norte,2015,28523.0,37.0,87.2
Region IX,Zamboanga del Norte,2016,28523.0,37.0,87.2
Region IX,Zamboanga del Norte,2017,28523.0,37.0,87.2
Region IX,Zamboanga del Norte,2018,28523.0,37.0,87.2
Region IX,Zamboanga del Norte,2019,30281.666666666668,38.333333333333336,91.40666666666667
Region IX,Zamboanga del Norte,2020,32040.333333333332,39.666666666666664,95.61333333333333
Region IX,Zamboanga del Norte,2021,33799.0,41.0,99.82
Region IX,Zamboanga del Norte,2022,35484.0,39.35,97.235
Region IX,Zamboanga del Norte,2023,37169.0,37.7,94.65
Region IX,Zamboanga del Norte,2024,37169.0,37.7,94.65
Region IX,Zamboanga del Norte,2025,37169.0,37.7,94.65
Region IX,Zamboanga del Sur,2015,23977.0,17.0,74.19
Region IX,Zamboanga del Sur,2016,23977.0,17.0,74.19
Region IX,Zamboanga del Sur,2017,23977.0,17.0,74.19
Region IX,Zamboanga del Sur,2018,23977.0,17.0,74.19
Region IX,Zamboanga del Sur,2019,24006.666666666668,15.666666666666666,69.07
Region IX,Zamboanga del Sur,2020,24036.333333333332,14.333333333333334,63.949999999999996
Region IX,Zamboanga del Sur,2021,24066.0,13.0,58.83
Region IX,Zamboanga del Sur,2022,28037.0,16.5,74.15
Region IX,Zamboanga del Sur,2023,32008.0,20.0,89.47
Region IX,Zamboanga del Sur,2024,32008.0,20.0,89.47
Region IX,Zamboanga del Sur,2025,32008.0,20.0,89.47
